Model name;Parameters;MAE;RMSE;sMAPE;Train_loss;Val_loss
00_LSTM_trefor_park;1 16 2 0.2 24 96;0.0583535060286521;0.0824083179717259;76.97815704345703;0.12242248099837594 0.06913369567353876 0.05964829080795002 0.055526699680057724 0.05472911756222655 0.053379859341635506 0.05283454320578345 0.051937615728768836 0.05118409236928605 0.05088751603915586 0.05031878668068417 0.05004297863779727 0.04894442443733528 0.048854544425842944 0.04817868309787477 0.04757315711397914 0.04738556519778725 0.047098757840726174 0.04682092964127849 0.046516925055040736 0.0457508079873507 0.04616551733879093 0.04565851402862362 0.04546612233774258 0.045320123620686756 0.04532893083020381 0.045158359505894946 0.04436101973751138 0.04436374694208493 0.04377676443192094 0.04380254890786309 0.04261556010972945 0.04246386717685022 0.042519656806809795 0.04187118245582582 0.04159000073144871 0.040671375458088466 0.04039175223687109 0.040527489823087785 0.04003714476818688 0.03974966871855501 0.03960404152811313 0.039575123219246056 0.04018513203845016 0.0394108422845839 0.038352054205507455 0.03902799262767113 0.03799020224096818 0.038767776236355155 0.0381583048755886 0.038229432443403294 0.038619434858527764 0.03985842407986749 0.03729386142699129 0.03675627459904639 0.0386554715632397 0.03710258433313296 0.03711630812545162 0.03713718218119867 0.03792636699526649 0.037553619944701404 0.03645971389345199 0.03727175868779857 0.03917698549585412 0.03710200767561263 0.03614734759158514 0.03618914684406351 0.03719259260587261 0.03703003814479493 0.03617249684628696 0.03622335841068785 0.036241247608390356 0.035655943626471565 0.03603214282855278 0.03692617748257332 0.035960953691547726 0.036211992843839656 0.03675204471142313 0.03493623759031163 0.034874140239337284 0.03549591158386367 0.03606022032909095 0.03522137869812984 0.034957696110811134 0.034734151606346096 0.03659667989118238 0.03736095721406848 0.035227836850253304 0.034568344975724516 0.034753037758204736 0.03421518513897277 0.034440347831222316 0.034671345858955545 0.03444845593266625 0.035005126237921395 0.03462712929356587 0.036308794184031 0.035113260681970807 0.03438857728532461 0.03412343197118292 0.033673392596320455 0.03380390570342598 0.03447296020916116 0.0347126328549881 0.0337879168498863 0.03323666977224535 0.034506101452131725 0.03514118835273135 0.03300606699793128 0.03354430165196326 0.03530950797188544 0.032713763572218765 0.03286370699075892 0.03434461051048403 0.03272941053972956 0.03227026080096534 0.03341867869042107 0.03443352977979843 0.033143345119654374 0.03263223712787544 0.03273599643826618 0.03206511948236357 0.03289294478710997 0.03342185547497152 0.03209243023308331;0.057716272473335266 0.04446447504684329 0.04395984508097172 0.04273989727720618 0.042413099464029075 0.042209412585943934 0.042150087896734474 0.04232491364702582 0.04189420457929373 0.04219684887677431 0.04177519150078297 0.04138975886628032 0.04071048684418201 0.041267570722848174 0.040854349099099636 0.04003700703382492 0.03987654395401478 0.03957904601469636 0.038925315402448174 0.038919535726308824 0.03909141143783927 0.038747914135456085 0.03891216356307268 0.03867586268112064 0.03908555159345269 0.03796389671042562 0.03957144835963845 0.039237528536468745 0.03658333174884319 0.0394582574442029 0.038388436306267974 0.038603449538350106 0.03788480035960674 0.03615860637277365 0.03508940739557147 0.03508802490308881 0.03513026880100369 0.034609057996422055 0.033614825885742904 0.034161377176642416 0.035536353271454574 0.03389976479113102 0.032685780376195905 0.03517631756141782 0.03260489571839571 0.033813073337078094 0.03276893146336079 0.03422492330893874 0.03296174068003893 0.03284398984164 0.03297329280525446 0.036050053369253876 0.033609114363789556 0.03291730936616659 0.031215944066643714 0.03246596525423229 0.032840991709381345 0.031526328977197406 0.03213883921504021 0.03446319280192256 0.031710264179855584 0.032247289046645165 0.03365449914708733 0.03459925645962358 0.03233205815777183 0.033125715032219887 0.03244704915210605 0.032655232734978196 0.031798347849398854 0.03123405488207936 0.030896961912512778 0.0318506196141243 0.03321447355672717 0.03124077310785651 0.032666949201375244 0.03139711918309331 0.032706176536157726 0.030908286403864622 0.030502650719136 0.03130003919824958 0.030875522792339325 0.03294055224396288 0.030642304122447967 0.03232582189142704 0.030671446938067674 0.034832097869366405 0.030403705351054668 0.030495420023798944 0.031047497410327196 0.031333432644605634 0.031365768294781445 0.030361478235572576 0.032013974962756035 0.030576153285801412 0.03193702904507518 0.03176754828542471 0.031826049350202085 0.03038452384993434 0.0321866543777287 0.029518727958202363 0.03086782781407237 0.03083801917731762 0.03326986491680145 0.031138706114143135 0.030761969443410635 0.03011952830478549 0.031186413895338775 0.03015598177909851 0.029918506275862455 0.03151306942105293 0.030668247062712907 0.02996118588373065 0.03009861608967185 0.03069136178120971 0.03030519412830472 0.030644304361194374 0.031217259131371976 0.029687492586672307 0.030600327756255864 0.03046238448470831 0.029349595475941896 0.030359829925000668 0.03112124053761363 0.031513005029410124 0.03018816052004695
00_GRU_trefor_park;1 16 2 0.2 24 96;0.0578811801970005;0.0845570322094149;75.44058227539062;0.09378684521593514 0.05733440209976362 0.052428082884087894 0.05134690201926607 0.05010228203704377 0.04982169273690944 0.04919881505344262 0.0483805489200274 0.04839238414657006 0.04802751340536026 0.047148293112914144 0.046810701841952955 0.046552576171471224 0.046321879720443306 0.04573933082886287 0.04452402335496823 0.04384539094658772 0.0433551018445044 0.04290064923410747 0.04208001763081183 0.04215960723345592 0.041857350335643646 0.04217260212071107 0.04132035902390877 0.04100588533456222 0.04085306409371984 0.04090192565118595 0.040732925205607604 0.04052621697469048 0.040653116344628294 0.04025590975363632 0.03988177650465936 0.03980282091644637 0.039241323052637715 0.04030136521325065 0.038892670190340956 0.03886702276989059 0.03873073835276617 0.0396373950456845 0.038642428939185715 0.03871769152946637 0.037658443817816696 0.0380724783016383 0.03899443377657739 0.03812409272955366 0.0375064592340454 0.0377336508640664 0.037537793169134595 0.03766727512737893 0.037437590183311026 0.038265743004940164 0.03735056638115728 0.037007653070898115 0.03716330310630757 0.03669128775817008 0.036256478723190703 0.03711667917751762 0.036445768294102364 0.037131697563312326 0.03656153556056624 0.036671062670150446 0.0361663360194879 0.03668072454349325 0.036325258361625916 0.037041996192168115 0.036018616919768334 0.03664407995884939 0.03765810316407214 0.035355461632202524 0.035657041078746204 0.03619446998056849 0.03575742796286182 0.03547457913552949 0.03655622000794185 0.035638476873015745 0.03480716696916665 0.03611217263692625 0.035634126459099066 0.03564355061887159 0.03677510936879588 0.03494596785187968 0.034665988360676185 0.03503406176203743 0.03510282376399572 0.03572019713376258 0.03531589799705163 0.03481673376584952 0.034658880453466726 0.03483550546219236 0.03511146365951642 0.03484086292196283 0.03497934509744114 0.037220183253980244 0.036630255996033964 0.03442820238658054 0.03404028084349484 0.03389367074219856 0.03607601230091986 0.03532270143998185 0.0350408467272197 0.034013160946364245 0.03438113745166885 0.034299940509489396 0.034360609901832 0.034248346249565825 0.03429285799977832 0.03642555429545674 0.03616122713575552 0.0346576570255952 0.03387018878951328 0.03294549320359968 0.03353541338420532 0.03467810795756185 0.03467179631456524 0.037075065544974674 0.03389226113571655 0.03489663080032678 0.033459788355407596 0.03353634868682132 0.03287970324748364 0.03249843766244541 0.032869773122432236 0.03440906046996362 0.033703964980290706 0.03459357241590438;0.04388882271945477 0.04169452248141169 0.03982307266443968 0.039240227993577716 0.03868330937810242 0.03829371556639671 0.038011804409325126 0.03771920939907432 0.03748340249992907 0.03707099881954491 0.03646896120160818 0.03684335269033909 0.03637761986814439 0.03644705897197127 0.03574436946772039 0.034120535952970384 0.0337555952463299 0.03324814101681113 0.033045747354626655 0.03278628042899072 0.03299000691622496 0.03245342853479087 0.032659370899200436 0.032240357948467135 0.03230563011020422 0.032209509583190084 0.03217854673974216 0.03191009567119181 0.031789988037198784 0.03226824603043497 0.031829961612820624 0.03235771744512021 0.031656173346564176 0.031214460944756866 0.031732899732887745 0.030937774004414678 0.03133150426670909 0.031389886932447555 0.031397519540041684 0.03187255408614874 0.03148654900491238 0.03158037511631846 0.03183266339823604 0.03176498604938388 0.03156225590035319 0.03110414544120431 0.03135177802294493 0.031503722295165064 0.031441020835191014 0.032465316858142614 0.03150238903239369 0.03161075552925467 0.03186661951243877 0.03041558072902262 0.03158281087875366 0.03137225752696395 0.032592627126723527 0.031181530700996517 0.03152805736288428 0.03242438416928053 0.031664685793220994 0.03228007808327675 0.030920311165973543 0.0317508240789175 0.032336503881961104 0.03299891678616405 0.032638051752001046 0.031143573969602587 0.03179167065769434 0.0316313524544239 0.03253580334596336 0.032569752503186465 0.030881380103528498 0.030864865705370902 0.03260843417607248 0.03214670356363058 0.03381863103248179 0.03188881188631058 0.03410310622304678 0.03106237145140767 0.031606196444481614 0.03140198129229248 0.03191366834565997 0.03256268043071032 0.030078049274161456 0.03163483321666718 0.031073132725432516 0.03098293381743133 0.03066812878474593 0.029608135353773834 0.030904165310785173 0.030551423020660877 0.03187521590851247 0.03127730835229158 0.030121156517416238 0.030413156766444446 0.03034393196925521 0.0319181077182293 0.03014778906479478 0.030379414865747092 0.030117752393707634 0.030427888510748746 0.030816931966692208 0.030382155803963543 0.03053334729745984 0.030600489890202878 0.029514042073860765 0.029598043421283363 0.02911540390923619 0.030691952873021365 0.03022106932476163 0.029966424256563186 0.030073471516370773 0.0296577843464911 0.030522349961102008 0.030022882949560882 0.03019362848252058 0.030072538014501334 0.029947769120335577 0.030504174577072263 0.030282374676316975 0.030525608565658332 0.02900244228541851 0.030513463225215674 0.02952011372894049
00_CNN_LSTM_trefor_park;1 16 2 0.2 24 96;0.0607612170279026;0.0859974716731311;76.07437133789062;0.12693187635884864 0.0717902961886149 0.0584764005331934 0.05485999893809434 0.05215450967294721 0.0516454693304408 0.04975684150359084 0.04892158895344698 0.04892413749041998 0.048831086775818815 0.04787304125484506 0.048778617964303904 0.047481906805282255 0.04684285152260375 0.04728238144237785 0.0471747547598987 0.04644688107630205 0.04578366610944347 0.04539552050270614 0.04593215871225502 0.04771153004152781 0.044915502735724054 0.04476441163747422 0.04398045360653379 0.04421602139005357 0.04381842337875762 0.04358768994912846 0.04347593103637374 0.04320802302550022 0.04334443617605014 0.0431609389404162 0.042900851981610096 0.04304940610384668 0.04283264787860556 0.0425145602666562 0.04177334787781438 0.042221397065507774 0.0420190068015132 0.04190858420868506 0.0414799286826317 0.042491186473580224 0.041705022376438285 0.042202507616696125 0.041375073160544874 0.040854925987057145 0.04120977731355236 0.04058284304310916 0.040749613738336785 0.04093058814019742 0.03992672788593018 0.04222655441593047 0.04075851525374363 0.04019745428686246 0.0403209208320049 0.03907604953902122 0.0401709222326022 0.03916443665049799 0.03845569278935857 0.03984335010205384 0.03809164981796162 0.038814632814500774 0.03772095799903473 0.04033381049402779 0.03863363307142398 0.0384547875740307 0.037667934677940405 0.037408170335317084 0.03851819065821288 0.036983133426988286 0.03637291458684183 0.037055801181359635 0.037753101579285686 0.0385860478518526 0.039927547135800316 0.0364234917554246 0.0369760667622023 0.03625323761399105 0.036293740104646935 0.036968468151081346 0.03726744406403969 0.03641361913006307 0.0356842477417269 0.03719195688342434 0.03577190456063541 0.03855810628590143 0.03578760746200557 0.035041254174921654 0.03606531571812511 0.03581626192221072 0.035375931627844616 0.03582167052355792 0.035255649915609616 0.035791472122476034 0.03534969508484404 0.03493354690223269 0.03549847067286362 0.03487023300996036 0.03662799539058718 0.036163111446595946 0.034702291212141814 0.03533551980250778 0.03625826675470909 0.03473958018610287 0.034026437843663965 0.03570389538546005 0.0352778228280625 0.034681782479523554 0.033648438434739796 0.033470230068627545 0.03344577649411563 0.03403596963873252 0.03518945315518623 0.03651223227538111 0.03608390425199183 0.03364500905737831 0.03357042117060918 0.033208092737412105 0.03327412379351054 0.03560918512749403 0.03844279944410894 0.035038728977887686 0.03317525466956179 0.033218584716575975 0.03300932952577281 0.03242851860297526;0.06895823799073696 0.051327603068202735 0.04813951451331377 0.04484897781163454 0.043125758357346056 0.04310685472562909 0.04272007411345839 0.04293347666040063 0.04293752558529377 0.04234557840973139 0.04240305133163929 0.04198365828022361 0.04146274946630001 0.04131232256069779 0.04107828719541431 0.0406337976641953 0.04021276887506246 0.04044639505445957 0.039695816542953254 0.039405300710350276 0.04110861040651798 0.03806336173787713 0.038827190175652504 0.038496530540287496 0.03849981188774109 0.038030931744724515 0.03777764409780502 0.03790863487869501 0.038437407203018664 0.03762768473476172 0.03764768896624446 0.03636077618226409 0.03711307158693671 0.036672153919935224 0.0361095423437655 0.03653855185955763 0.03590297818183899 0.03602770058438182 0.03586587829515338 0.03567390001378953 0.03652320383116603 0.03621269755065441 0.03739882081747055 0.036583226080983876 0.03550747377797961 0.03578255208209157 0.035003627669066194 0.035275831017643214 0.035241201035678384 0.035644737090915445 0.03463547609746456 0.03398431460373104 0.03381368219852447 0.034603436402976515 0.03275691980496049 0.035756559912115335 0.03378087835386395 0.03286020187661052 0.03427487529814243 0.03253435520455241 0.03293098719790578 0.032820094376802444 0.03470002815127373 0.032951322998851534 0.032627242151647806 0.03194073371589184 0.03189176669344306 0.0323163335211575 0.03178000546991825 0.03186531087383628 0.032766663897782565 0.03245217066258192 0.031435207519680264 0.03221816981211305 0.03109045196324587 0.032032099403440956 0.03128739360719919 0.030940626189112662 0.03689369019120932 0.031822404041886326 0.03151962889358401 0.030767363123595716 0.030957752000540496 0.03147755797952414 0.03258923858404159 0.0313683588989079 0.031058158930391072 0.03170846112072468 0.03160461397841573 0.030886578783392907 0.03137706799432635 0.0307986771594733 0.032009912040084604 0.030683268252760174 0.031404770016670226 0.03177458109334111 0.03116701802238822 0.03207677559927106 0.030951852640137077 0.030579249914735554 0.034353013914078474 0.03237873581238091 0.02974340794607997 0.03091806565411389 0.03084984200075269 0.030555809680372477 0.030647309869527815 0.029945454616099595 0.030154431331902744 0.031348009007051585 0.03142612869851291 0.030352070424705745 0.030719881970435382 0.030187564054504037 0.030104481689631937 0.030104555524885654 0.03040487349964678 0.03208251611329615 0.033133442886173724 0.030917549915611745 0.030396835301071404 0.03002811685204506 0.029389638742431997 0.029565275702625512 0.029944014409556984
03_CNN_LSTM_trefor_park;7 16 1 0.2 24 96;112.88378143310548;158.3755954056359;69.23822021484375;0.18986123937951482 0.1394625883369486 0.1255566750333649 0.11693710131021802 0.10896766539393128 0.10262766215896262 0.09838448596245425 0.0946207055327109 0.08849318082565846 0.08053981689601272 0.07543672742277095 0.07422995671251978 0.07231308064976896 0.07165742147227992 0.06691424545926461 0.07704983748819517 0.06572676626380515 0.06406299043041856 0.06202516088640128 0.06213113964323836 0.060243066746723535 0.06042565929069035 0.05984110911804193 0.05754868043721586 0.05675935930378987 0.05667901865166167 0.056540769448386874 0.055200613515478544 0.0545711034193527 0.05410552411317681 0.053873352863902345 0.052866845708880304 0.05345136706901777 0.05291115715064936 0.05276616245445206 0.051909020409023995 0.05192506074194531 0.051519963289678526 0.051137092673998095 0.05188493694039287 0.05091522371504402 0.05089838989528913 0.05099270693003987 0.05014665310545532 0.049967799065769584 0.04928004998119845 0.049713803783671004 0.04999042918527688 0.050011255139494 0.049590193841984306 0.049138289925772786 0.048665750812253224 0.049448036707955716 0.048625787607605615 0.049009497450655644 0.048058291460760835 0.0476423909905668 0.04723852434631995 0.04726810239768331 0.04711264995228193 0.04684980493713764 0.04707344554382678 0.0461945076369577 0.04644719889423481 0.046483078897269305 0.04617731086009942 0.04601833829656243 0.046396877760616476 0.046602700150837215 0.046101100758563926 0.04599204416733217 0.04537442645984859 0.046239789858784366 0.04555465776365304 0.045116514939328896 0.04573189169573395 0.045250228010028024 0.04455400687745876 0.046085753286896264 0.046430163823320096 0.044923631625097014 0.04464348627857252 0.04416920795838758 0.04439876257140495 0.04435002790754976 0.04384307609646073 0.043671682200300085 0.04461661079709513 0.0435815406265862 0.04471888758044168 0.044032441445396864 0.04370761010570875 0.043833285905330796 0.04386277982047287 0.04339012140093218 0.04339983872619372 0.042810823457936444 0.042739339935444834 0.04293735623179715 0.04306222226443714 0.04260682860830268 0.043147591003419264 0.04193211213915028 0.044333633640556085 0.045937446539924626 0.043494319853683315 0.04178810986838695 0.04174103952071445 0.041491250745988126 0.04120234862995752 0.04099585851519436 0.04138875987992627 0.041645184971374156 0.042362797591421336 0.04207027772810436 0.041451041667681675 0.04106216880623341 0.041359940836215074 0.04042774916667005 0.040261353165865085 0.040452588803994195 0.04089574499622635 0.042040685598922954 0.04160135067495459 0.0406926013191865;0.10772839102607507 0.09823892308542362 0.09447125617701274 0.09051559134744681 0.08762447192118718 0.0857497899291607 0.08338782363213025 0.08030557704086487 0.07453594815272552 0.06559010401654702 0.06683877798227164 0.06403580852426015 0.05935542514690986 0.05969554866449191 0.06232489774433466 0.06148952281532379 0.05632537230849266 0.055482642187808566 0.055028989839439206 0.05534389260439919 0.05499742939495123 0.05660334293945478 0.05391115423005361 0.053550294743707545 0.05509541448778831 0.05420616154487316 0.054707869027669616 0.05308774428871962 0.053793856086066134 0.05379507468583492 0.05225920061079355 0.05239633091080647 0.051576413644047886 0.05177298360146009 0.05070116818667604 0.05107606539072899 0.05074815573887183 0.050737359847586885 0.05172745861972754 0.05169157748325513 0.05159236791615303 0.050708629978963964 0.05049080652399705 0.04933304493673719 0.048844968470243305 0.04981896560639143 0.050170416227326944 0.05070857309664671 0.049686004407703876 0.050256784432209455 0.04907395303822481 0.050540620246185705 0.05018486440754854 0.049095306115654797 0.04952736331436496 0.04875205664967115 0.047839782415674284 0.04717375717770595 0.049926020133380704 0.04679286128912981 0.050838246690825775 0.04916032819220653 0.047680544308744945 0.0496238532404487 0.05179738808566561 0.046266358775588184 0.04881836402301605 0.05250539895720207 0.047350707643020615 0.05563275530361212 0.046827631823431984 0.056877523374099 0.05452689421004974 0.0530864827406521 0.05529540698402203 0.048533822051607646 0.04758868789157042 0.04980560270353006 0.05487947527749034 0.04861868889285968 0.049794142349408224 0.05037398306796184 0.050307919772771686 0.05028662110607211 0.050617817001274 0.04736029446268311 0.048453200787592396 0.04991906759544061 0.04820792419979206 0.046177231814139165 0.05007095595535178 0.05049998567511256 0.04951520256984692 0.04681981705988829 0.05365572182031778 0.04531212000606152 0.04569532768800855 0.047609333522044696 0.0495935591439215 0.047573916255854644 0.04446900048508094 0.044401430596525855 0.04465666087344289 0.047330873301969126 0.04822610472687162 0.044617256901871696 0.049011881463229656 0.04549891623453452 0.042908606298554405 0.04390169085504917 0.044624239922716066 0.04463367987997257 0.04430321088204017 0.045515349349723414 0.054429744477741994 0.044078915451581664 0.04599873836223896 0.0434490149625792 0.04465691107683457 0.04407214839011431 0.04613066787043443 0.04487190997371307 0.047993370618384615 0.048814440719210185 0.04387034737290098
03_GRU_trefor_park;7 16 2 0.2 24 96;120.6213607788086;177.4351246395902;69.2954330444336;0.23644551998319258 0.14354759773266487 0.1267266559644022 0.11598355515639563 0.10410034972364487 0.09456888149865872 0.08611467583689857 0.08238976161729022 0.08024057534023904 0.07825730070651729 0.07640265499957014 0.07424091219290155 0.07364292885964187 0.07157974251532469 0.07150969787721256 0.06955862971436647 0.06961736606730931 0.06901088753796142 0.06760780018155918 0.06679390425060466 0.06622255806122786 0.06635357813621705 0.06565126209578293 0.06475539791627206 0.06419198989760184 0.06444186691851647 0.06318100608417378 0.0630971746865642 0.062471302498383945 0.06235665856784093 0.0623620870469165 0.061714543344605945 0.06154982281560843 0.06159706773902267 0.061266529106125595 0.061174026559948344 0.060498118245353304 0.06047602098408169 0.060687180343061545 0.06041524383117971 0.05901643234093624 0.05994598864429239 0.059664529496308974 0.05888338294780053 0.059163085220984506 0.058899715594533414 0.05846644947440296 0.05833211118706327 0.057741255359949124 0.05830778699629189 0.05762489933007653 0.05725946438674261 0.05743203202154541 0.0573944542489514 0.0573727291252842 0.05730606045726921 0.056789631136481604 0.056868771066358265 0.05658612196707135 0.05694720511221223 0.0562155587994606 0.05602582940687808 0.05553684219636995 0.05575851412885935 0.05562157969660877 0.055254522369103734 0.055779703523837716 0.05482175070477496 0.055219072454883424 0.05430533106389325 0.05466864435317148 0.05422476826433614 0.05477713407714658 0.054379097971129386 0.0543121707463718 0.054078637197127806 0.053673577287958726 0.053334781909046544 0.053790239754452365 0.053547800127146904 0.053832465922235 0.05392085546897589 0.05363144437615998 0.05327366704373184 0.05344662193325911 0.052976598706690296 0.053315964387954724 0.052968736983169826 0.05317240791026377 0.05214009323305842 0.052777035407056125 0.052460117198094944 0.05206367467948492 0.052616111009611166 0.05260985722351405 0.052053983134312046 0.05178164537537141 0.05140384591908918 0.051805905046184424 0.05191769214922895 0.05158385527567659 0.051220205279544066 0.051479756433948656 0.051239427215091275 0.0513938819958068 0.05096991226113073 0.05085040253456592 0.05082586822032496 0.05034126386559312 0.05059649135494506 0.050560446685531 0.05066653197982173 0.05006175331438437 0.04997205638646143 0.049955442903230445 0.04958548887907235 0.04928602276882832 0.04916016961299423 0.04913687806549496 0.04933546850196837 0.04969680011452396 0.04934741105830324 0.049117726222094565 0.04876903424282437 0.04908049703409202;0.11559322290122509 0.09973389182526332 0.0936236375799546 0.08824319034241714 0.0798043072796785 0.07031928790876499 0.06525894075345534 0.06283106067432807 0.061844014741766914 0.06062182318419218 0.05962700583040714 0.059376137474408515 0.058563436596439436 0.05801351877072683 0.05778182964198864 0.0573753763993199 0.05701782812292759 0.05692723611942851 0.056489786957032405 0.0565245678791633 0.05640325989001072 0.05619769636541605 0.05629845959349321 0.05563547154172109 0.055629418088266484 0.05548987086289204 0.055660237629826255 0.05559884921575968 0.0548060739126343 0.054724395633316956 0.054600778179099925 0.054516856343700335 0.05420704916692697 0.053936301121631496 0.05374107037026148 0.0539393496986192 0.05347424534221108 0.053316127974539995 0.052958769544672504 0.05277452628629712 0.05299940400828536 0.05217008890870672 0.05237841022272523 0.0520155021490959 0.052015338343783066 0.052196747838304594 0.05142179231804151 0.0515305745200469 0.05157127901195334 0.051250897956868775 0.05126932277702368 0.050877014067597114 0.05085583002521442 0.05088543010732302 0.050501033950310484 0.050593807791861206 0.05054556929434721 0.05076547615373364 0.05028656941766922 0.050197166533997424 0.05017516128002451 0.05026488840723267 0.05004085424857644 0.04978799640845794 0.04982930267802798 0.04980764785208381 0.049603260623720974 0.04995511543865387 0.04914453410758422 0.04923247886248506 0.04911735549998971 0.04876748160817302 0.049137592781335115 0.048900535580917046 0.048959679185197905 0.04858453811791081 0.04878798069862219 0.04871079243289737 0.04833856189193634 0.048993811978457064 0.04885100197190276 0.04893340331573899 0.048547462381135956 0.0487800994171546 0.048401336364734635 0.04830622640796579 0.048442419725828446 0.048812128675098605 0.04864897335378023 0.04889542140209904 0.04814284531256327 0.048603981446761355 0.04824244546202513 0.04877456585661723 0.04896055699254458 0.0490912005950052 0.04871225897939159 0.04869290108147722 0.049015226057515696 0.04831608152016997 0.04855530365155293 0.04925351177986998 0.04923877248970362 0.048708527169835106 0.04829917930496427 0.0484234424881064 0.048390379175543785 0.0501763064127702 0.050539336238916106 0.04994074674323201 0.04951547193699158 0.04920583078637719 0.04919789179873008 0.04973874083505227 0.05065010015207987 0.05081462458922313 0.05173176813584108 0.051820701418014675 0.051145727531268045 0.05097337532788515 0.052180721782721005 0.05150216083543805 0.049988538349190585 0.051082142270528354 0.051781246438622475
03_LSTM_trefor_park;7 16 2 0.2 24 48;118.97359466552734;164.5005320753994;71.08649444580078;0.14966098005896894 0.12295980181023118 0.1124809965905216 0.10665604284096167 0.10098467472994672 0.09510533450450298 0.08572270746842242 0.07932218673733482 0.07576681650356178 0.0732908176217714 0.07014929773600925 0.06846676637522048 0.0683174050629031 0.06747538811900622 0.06589695086234794 0.06655807657491254 0.06541924745267357 0.06727044870582036 0.06556421359056148 0.06782992783223013 0.06348841161138698 0.062135706284501845 0.06308555132641956 0.06845058965078299 0.06229932879318218 0.06103703654078758 0.06148941549225058 0.05862834257330152 0.0582888280423943 0.05840396787971258 0.05759473717074103 0.057357750068180224 0.05749268400379353 0.057737025821464505 0.05743937144181938 0.05691129586024993 0.05731925924178123 0.06047337762291593 0.06253661259171972 0.05905755621646554 0.05703124466491638 0.056202300727493375 0.05568342096203767 0.055417918429174574 0.05520943534708973 0.055998876375924565 0.054501271475970316 0.055038022241838604 0.05449391911391187 0.05472948279114809 0.05382822537209821 0.05397371405393677 0.053471180137948715 0.053345738347745746 0.053592632234474455 0.05334215393235934 0.0531226031522712 0.05316862405012339 0.05246045076229794 0.05222180832384361 0.051996565201198275 0.05121982497599534 0.05169676998090269 0.05161096508601221 0.05141256631977388 0.05098281058388344 0.051316374267231006 0.05127023422307726 0.0520224192355206 0.05105447184951337 0.0500450005174439 0.05071499340173199 0.04930689063706044 0.04862688802371638 0.049038354127447385 0.04967250525591454 0.05009375526997202 0.04880671883181889 0.057947212708709034 0.05825400460007542 0.05440014021264182 0.05175452716288647 0.0504175784304774 0.049273082826754466 0.04896480847006115 0.049111952735246094 0.048653304378911494 0.047788021872315 0.04804099491765894 0.04810443814789903 0.048337483904571925 0.04914560078998695 0.049044882323017014 0.047478655463417514 0.046869813347604254 0.04650197642436926 0.04739885313373401 0.04714439336012527 0.046196073453405484 0.04687226068336463 0.04701956226332968 0.04655666402563597 0.04645292942326714 0.047544685457855604 0.046586532116494175 0.04700028824120544 0.04689371581796719 0.045602759409353925 0.04605381197300582 0.04641339719376486 0.04550613189377071 0.04545273091913997 0.04542059796875802 0.04650510055719367 0.04884514898502668 0.046030948921624154 0.04494874220305451 0.04529704065804464 0.0448441104401029 0.04520714399967217 0.04492397445528475 0.04516901114532625 0.04527664090538226 0.0444646842242331 0.04401493427492138;0.10407448072846119 0.09917156140391643 0.09572576946363999 0.09248512109311727 0.09058038517832756 0.08807396387251523 0.08318145043001725 0.07419117296544406 0.07382124605087134 0.06944428692356898 0.06742319830048543 0.06702647587427726 0.06599871627986431 0.0659381216391921 0.06610971288039134 0.06496064687291017 0.06459824977299342 0.06509117402422887 0.06488285256692997 0.06254220223770691 0.06085887408027282 0.06149910361720966 0.06194338890222403 0.06391550070391251 0.058675067141078986 0.058495370098031484 0.059199496100728326 0.05664775105049977 0.057198721485642284 0.05770372398770773 0.05653499389210573 0.05745185317041782 0.058373324071558624 0.05815787076090391 0.059095397018469296 0.057207337294060454 0.05778771388129546 0.06594234002897373 0.05765207068851361 0.055537889926479414 0.054664709533636384 0.054673259433072344 0.054422492591234356 0.05431622216621271 0.05764143240566437 0.057212574335818105 0.05491836369037628 0.055324348262869395 0.05490085045592143 0.055240581958339766 0.054498795921412796 0.05353584513068199 0.05465533061382862 0.05513038321469839 0.054087799902145677 0.055020739181110494 0.0554165282071783 0.054019357865819566 0.052776373421343475 0.05119348489321195 0.053850152458135896 0.05262066567173371 0.05297740921378136 0.053273966894126855 0.052107573773425356 0.0528889991199741 0.05352918158930082 0.05165038916927118 0.0571454673862228 0.0498157381438292 0.05505735985934734 0.0485983003790562 0.04836451992965662 0.04684706017948114 0.04785518785222219 0.05290423605877619 0.052177045351037614 0.048223320179833815 0.06833842411064185 0.06564910308672832 0.050191425216885716 0.04773063785754717 0.04708120792817611 0.047121656664575524 0.04939276739381827 0.0482619796664669 0.04766286701823656 0.046677263238682196 0.047944347660702005 0.05208450047155985 0.051566486461804464 0.05794375683539189 0.046953339058046155 0.047469824910737 0.045753433727301084 0.04721005382732703 0.04926673853053497 0.04657016142916221 0.04703560664963264 0.051047902697554 0.04817110679757137 0.04688707212559306 0.05129329487681389 0.04778810909304481 0.054954685342426486 0.047688984097196505 0.04585936615386835 0.04784137519219747 0.04812911288956037 0.04806690308480309 0.049587275832891464 0.045986551648149125 0.04824482721204941 0.05807456897141842 0.048139961722951666 0.04506451038357157 0.04571828432381153 0.04493758107463901 0.04698121171587935 0.04611177552634707 0.04550204880965444 0.046182565964185275 0.04788986618558948 0.045917687543596215 0.04514412427894198
